application_id;Variable_1;Variable_2;Variable_4;Variable_7;Variable_8;customer_id;Variable_9;Variable_10;Variable_11;Variable_15;Variable_16;Variable_17;Variable_18;Variable_19;Variable_20;Variable_21;Variable_22;Variable_23;Variable_24;Variable_25;Variable_26;Variable_27;Variable_28;Variable_29;Variable_30;Variable_31;Variable_32;Variable_33;Variable_34;Variable_35;Variable_36;Variable_37;Variable_38;Variable_39;Variable_40;Variable_41;Variable_6_INT;Variable_12_INT;Variable_45_INT;Variable_13_INT;due_date_YEAR;due_date_MONTH;due_date_DAY;first_status_day_date_YEAR;first_status_day_date_MONTH;first_status_day_date_DAY;paid_date_YEAR;paid_date_MONTH;paid_date_DAY;arrived_date_YEAR;arrived_date_MONTH;arrived_date_DAY;first_status_time_of_day_HOUR;first_status_time_of_day_MINUTE;first_status_time_of_day_SECOND;arrived_date_HOUR;arrived_date_MINUTE;DAYS_due_date-first_status_day_date;DAYS_due_date-paid_date;DAYS_due_date-arrived_date;DAYS_first_status_day_date-paid_date;DAYS_first_status_day_date-arrived_date;DAYS_paid_date-arrived_date
77004;60;1;1;72.0;500;4359911;300;300;300;5.0;1.0;1.0;0.0;0.0;14919.0;1250.0;300.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45736.0;1250.0;300.0;0.0;0.0;61;5;0;1.0;2016;4;6;2016;3;22;2016;5;4;2016;3;22;10;3;51;10;3;15;-28;14;-43;-1;42
27585;44;1;1;35.0;199;3120773;350;200;200;5.0;1.0;1.0;3.0;1.0;16861.0;400.0;500.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39002.0;400.0;500.0;0.0;0.0;26;1;0;7.0;2015;8;26;2015;6;28;2015;7;13;2015;6;28;1;54;39;1;54;59;44;58;-15;-1;14
72831;60;1;1;39.0;199;4305281;300;300;300;0.0;0.0;0.0;2.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;37;5;0;2.0;2016;9;5;2016;9;3;2016;10;3;2016;9;3;12;44;38;12;44;2;-28;1;-30;-1;29
30482;30;1;1;40.0;199;3168470;190;190;190;12.0;6.0;0.0;3.0;1.0;20439.0;;5000.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98596.0;;13780.0;1.0;0.0;86;1;1;10.0;2015;8;20;2015;7;20;2015;7;21;2015;7;20;19;8;55;19;8;31;30;30;-1;-1;0
66754;30;1;1;21.0;199;4176628;199;199;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;4;0;6.0;2016;3;26;2016;2;15;2016;2;25;2016;2;15;12;2;4;12;2;40;30;39;-10;-1;9
34469;45;1;1;44.0;199;3272871;190;190;190;4.0;0.0;1.0;1.0;0.0;11300.0;3500.0;;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17059.0;3500.0;;0.0;0.0;53;0;0;5.0;2015;12;10;2015;8;19;2015;8;28;2015;8;19;21;43;22;21;43;113;104;112;-9;-1;8
32661;45;2;1;57.0;199;2901404;500;200;200;11.0;8.0;1.0;1.0;1.0;30668.0;1500.0;1000.0;0.0;0.0;0.0;1.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;109513.0;1500.0;6700.0;0.0;0.0;66;1;1;8.0;2015;10;21;2015;6;8;2015;7;8;2015;6;8;14;46;42;14;46;135;105;134;-30;-1;29
33640;30;1;1;54.0;199;3258836;200;200;200;4.0;0.0;0.0;1.0;0.0;13500.0;;;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34000.0;;;0.0;0.0;20;1;1;6.0;2015;9;13;2015;8;13;2015;8;14;2015;8;13;19;38;28;19;38;31;30;30;-1;-1;0
54453;30;1;1;32.0;500;3978357;500;500;500;11.0;1.0;0.0;0.0;1.0;30281.0;;470.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103618.0;;470.0;0.0;0.0;59;5;1;5.0;2016;1;15;2015;12;12;2015;12;16;2015;12;12;12;47;59;12;47;34;30;33;-4;-1;3
41567;30;1;1;29.0;199;3379395;199;199;199;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;27;0;1;8.0;2015;11;11;2015;9;29;2015;12;10;2015;9;29;20;17;2;20;17;43;-29;42;-72;-1;71
53225;30;1;1;18.0;100;3958515;100;100;100;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;14;4;1;7.0;2016;9;1;2015;5;12;2015;10;12;2015;5;12;15;41;17;15;41;478;325;477;-153;-1;152
